ts,RET_1,VOL_YES_1,VOL_NO_1,VOL_TOTAL_1,RET_2,VOL_YES_2,VOL_NO_2,VOL_TOTAL_2,RET_3,VOL_YES_3,VOL_NO_3,VOL_TOTAL_3,RET_4,VOL_YES_4,VOL_NO_4,VOL_TOTAL_4,RET_5,VOL_YES_5,VOL_NO_5,VOL_TOTAL_5,RET_6,VOL_YES_6,VOL_NO_6,VOL_TOTAL_6,RET_7,VOL_YES_7,VOL_NO_7,VOL_TOTAL_7,RET_8,VOL_YES_8,VOL_NO_8,VOL_TOTAL_8,RET_9,VOL_YES_9,VOL_NO_9,VOL_TOTAL_9,RET_10,VOL_YES_10,VOL_NO_10,VOL_TOTAL_10,RET_MEAN_5,RET_STD_5,VOL_MEAN_5,RET_MEAN_10,RET_STD_10,VOL_MEAN_10,DIST_50,DIST_MIN_20,DIST_MAX_20,VOL_IMBALANCE
2026-03-07 05:00:00+00:00,0.007343941248470154,0.0,0.0,,-0.011028917283120498,0.0,0.0,,-0.07166937195654866,0.0,0.0,,-0.02257749572858203,0.0,0.0,,-0.041637426900584806,0.0,0.0,,-0.005813953488372103,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0117647058823529,0.0,0.0,,-0.012661168544546464,0.0,0.0,,-0.027913854124073167,0.030247197135108726,,-0.01462796867709315,0.025272358353692743,,0.48140000000000016,0.030910131652495485,0.9690898682902636,
2026-03-08 05:00:00+00:00,-0.16065883623599309,0.0,0.0,,0.007343941248470154,0.0,0.0,,-0.011028917283120498,0.0,0.0,,-0.07166937195654866,0.0,0.0,,-0.02257749572858203,0.0,0.0,,-0.041637426900584806,0.0,0.0,,-0.005813953488372103,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0117647058823529,0.0,0.0,,-0.05171813599115482,0.0675633894728219,,-0.029427735446237814,0.052576974136181155,,0.24340000000000003,0.0,0.9999999999653139,
2026-03-09 05:00:00+00:00,-0.06675245295158438,0.0,0.0,,-0.16065883623599309,0.0,0.0,,0.007343941248470154,0.0,0.0,,-0.011028917283120498,0.0,0.0,,-0.07166937195654866,0.0,0.0,,-0.02257749572858203,0.0,0.0,,-0.041637426900584806,0.0,0.0,,-0.005813953488372103,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,-0.06055312743575529,0.06566166078970294,,-0.03727945132963154,0.05159550666801123,,0.16040000000000007,0.0,0.9999999999687305,
2026-03-10 04:00:00+00:00,0.008273009307135482,0.0,0.0,,-0.06675245295158438,0.0,0.0,,-0.16065883623599309,0.0,0.0,,0.007343941248470154,0.0,0.0,,-0.011028917283120498,0.0,0.0,,-0.07166937195654866,0.0,0.0,,-0.02257749572858203,0.0,0.0,,-0.041637426900584806,0.0,0.0,,-0.005813953488372103,0.0,0.0,,0.0,0.0,0.0,,-0.044564651183018465,0.07173061433748396,,-0.03645215039891799,0.05232090264818256,,0.17,0.015009380862569966,0.9849906191061605,
2026-03-11 04:00:00+00:00,-0.06905982905982921,0.0,0.0,,0.008273009307135482,0.0,0.0,,-0.06675245295158438,0.0,0.0,,-0.16065883623599309,0.0,0.0,,0.007343941248470154,0.0,0.0,,-0.011028917283120498,0.0,0.0,,-0.07166937195654866,0.0,0.0,,-0.02257749572858203,0.0,0.0,,-0.041637426900584806,0.0,0.0,,-0.005813953488372103,0.0,0.0,,-0.05617083353836021,0.06961137672754367,,-0.04335813330490092,0.051526548847555816,,0.08919999999999988,0.0,0.999999999970185,
2026-03-12 04:00:00+00:00,0.13661402864487715,0.0,0.0,,-0.06905982905982921,0.0,0.0,,0.008273009307135482,0.0,0.0,,-0.06675245295158438,0.0,0.0,,-0.16065883623599309,0.0,0.0,,0.007343941248470154,0.0,0.0,,-0.011028917283120498,0.0,0.0,,-0.07166937195654866,0.0,0.0,,-0.02257749572858203,0.0,0.0,,-0.041637426900584806,0.0,0.0,,-0.03031681605907881,0.11087459182710566,,-0.02911533509157599,0.0766280393666432,,0.23799999999999996,0.2218246869343524,0.7781753130358325,
2026-03-13 04:00:00+00:00,0.004684975767366817,0.0,0.0,,0.13661402864487715,0.0,0.0,,-0.06905982905982921,0.0,0.0,,0.008273009307135482,0.0,0.0,,-0.06675245295158438,0.0,0.0,,-0.16065883623599309,0.0,0.0,,0.007343941248470154,0.0,0.0,,-0.011028917283120498,0.0,0.0,,-0.07166937195654866,0.0,0.0,,-0.02257749572858203,0.0,0.0,,0.00275194634159317,0.08357791039654461,,-0.024483094824780827,0.07718505143598231,,0.24379999999999996,0.2304710793014172,0.7695289206687678,
2026-03-14 04:00:00+00:00,0.08650908506190702,0.0,0.0,,0.004684975767366817,0.0,0.0,,0.13661402864487715,0.0,0.0,,-0.06905982905982921,0.0,0.0,,0.008273009307135482,0.0,0.0,,-0.06675245295158438,0.0,0.0,,-0.16065883623599309,0.0,0.0,,0.007343941248470154,0.0,0.0,,-0.011028917283120498,0.0,0.0,,-0.07166937195654866,0.0,0.0,,0.03340425394429145,0.07973024110033096,,-0.013574436745731921,0.08481577026041309,,0.3513999999999999,0.39087656528351583,0.6091234346866691,
2026-03-15 04:00:00+00:00,0.044250406985348656,0.0,0.0,,0.08650908506190702,0.0,0.0,,0.004684975767366817,0.0,0.0,,0.13661402864487715,0.0,0.0,,-0.06905982905982921,0.0,0.0,,0.008273009307135482,0.0,0.0,,-0.06675245295158438,0.0,0.0,,-0.16065883623599309,0.0,0.0,,0.007343941248470154,0.0,0.0,,-0.011028917283120498,0.0,0.0,,0.040599733479934084,0.07850928342193969,,-0.0019824588515421904,0.08391025993695461,,0.41120000000000007,0.4947756607100563,0.5052243392592124,
2026-03-16 04:00:00+00:00,0.03585600907029485,0.0,0.0,,0.044250406985348656,0.0,0.0,,0.08650908506190702,0.0,0.0,,0.004684975767366817,0.0,0.0,,0.13661402864487715,0.0,0.0,,-0.06905982905982921,0.0,0.0,,0.008273009307135482,0.0,0.0,,-0.06675245295158438,0.0,0.0,,-0.16065883623599309,0.0,0.0,,0.007343941248470154,0.0,0.0,,0.0615829011059589,0.05111420296859495,,0.002706033783799344,0.0846551679309701,,0.46180000000000004,0.5889977868925389,0.4110022130758455,
